,title,price,distance,city,date
153,'Roei apparaat Bonn concept 2.2',NaN,105.0,Uden,2020-09-25 10:16:18+00:00
154,'Concept 2 model E/pm4',775.0,101.0,Schijndel,2020-09-25 09:54:16+00:00
155,'roeimachine concept 2',NaN,17.0,Amsterdam,2020-09-25 08:51:15+00:00
156,'Concept 2 roeimachine vintage model',NaN,37.0,'s-Gravenhage,2020-09-25 07:28:16+00:00
157,'Concept2 roeitrainer model D met PM3 monitor',650.0,89.0,Epe,2020-09-24 18:54:18+00:00
158,'Concept 2 Roeitrainer Model C met pm2 Computer',550.0,99.0,Goirle,2020-09-24 16:31:23+00:00
159,'Concept2 model D PM5',800.0,111.0,Nes,2020-09-24 15:17:16+00:00
160,'Nieuwe roeier Concept 2 model D met PM5 zwart',1300.0,46.0,Delft,2020-09-24 12:32:17+00:00
161,'Nieuwe roeier Concept 2 model D met PM5 zwart',1300.0,46.0,Delft,2020-09-24 12:31:16+00:00
162,'Concept 2 roeitrainer',550.0,64.0,Den Helder,2020-09-24 11:11:16+00:00
163,'Concept 2 model C ergometer',450.0,87.0,Breda,2020-09-23 20:34:17+00:00
164,'Concept 2 model C ergometer',450.0,87.0,Breda,2020-09-23 20:33:16+00:00
165,'Concept 2 roeitrainer model D met PM3 scherm',650.0,41.0,Vleuten,2020-09-23 18:29:17+00:00
166,'Concept 2 roeier',550.0,64.0,Den Helder,2020-09-23 17:44:17+00:00
167,'Roeitrainer roeiapparaat  concept 2 model E PM4 display',750.0,97.0,Tilburg,2020-09-23 15:46:16+00:00
168,'Concept 2 model E roeiapparaat',750.0,97.0,Tilburg,2020-09-23 15:22:14+00:00
169,'CONCEPT 2 roeitrainer met PM4!',550.0,107.0,Beek,2020-09-23 13:19:15+00:00
170,'CONCEPT 2 roeimachine met PM4',NaN,107.0,Beek,2020-09-23 13:07:15+00:00
171,'Concept 2 Roeitrainer met pm3 Scherm model D',650.0,99.0,Goirle,2020-09-23 11:07:15+00:00
172,'concept 2',500.0,18.0,Amsterdam,2020-09-23 09:01:14+00:00
173,'Concept 2 model C   roeiertrainer',NaN,94.0,Tilburg,2020-09-23 07:16:10+00:00
174,'Concept 2 roeitrainer',750.0,68.0,Leersum,2020-09-23 06:50:11+00:00
175,'Concept 2',NaN,68.0,Leersum,2020-09-23 06:48:10+00:00
176,'Concept 2 Roeimachine',400.0,13.0,Amsterdam,2020-09-22 19:48:12+00:00
177,'Concept 2 roei ergometer',700.0,99.0,Nijmegen,2020-09-22 14:19:12+00:00
178,'Concept 2 roeitrainer',500.0,19.0,Amsterdam,2020-09-22 09:04:10+00:00
179,'Concept 2 model E PM5 Ergometer | Roeitrainer',950.0,47.0,Delft,2020-09-21 19:07:11+00:00
180,'Concept 2 roeitrainer',500.0,184.0,Roodeschool,2020-09-21 13:42:10+00:00
181,'Concept 2 PM3 monitor',60.0,99.0,Nispen,2020-09-21 13:25:11+00:00
182,'Roei Apparaat Concept2',NaN,39.0,Harmelen,2020-09-21 12:28:10+00:00
183,'Concept 2 model B roeitrainer met PM3 (geüpgraded)',375.0,65.0,Den Helder,2020-09-20 11:48:11+00:00
184,'Concept2 roeitrainer model C zonder monitor',450.0,48.0,Utrecht,2020-09-20 08:57:16+00:00
185,'Concept2 roeitrainer model C zonder monitor',450.0,48.0,Utrecht,2020-09-20 08:56:11+00:00
186,'Concept 2',300.0,109.0,Cuijk,2020-09-20 07:43:11+00:00
187,"'Roeitrainer Concept 2, fitness roeier met display.'",695.0,129.0,Hoogeveen,2020-09-20 07:32:11+00:00
188,'Concept 2 Model D PM5 Zwart (met bon)',850.0,118.0,Eindhoven,2020-09-20 06:27:10+00:00
189,'Concept 2 model D pm 3 monitor roeimachine',500.0,67.0,Ermelo,2020-09-19 14:54:11+00:00
190,'Concept 2 roeitrainer',400.0,100.0,Sneek,2020-09-19 12:47:10+00:00
191,'Concept 2 Roeitrainer model D met pm 3 scherm',600.0,99.0,Goirle,2020-09-19 11:15:11+00:00
192,'Concept 2 roeimachine vintage model',NaN,37.0,'s-Gravenhage,2020-09-19 08:12:11+00:00
193,'Concept 2 model C roeitrainer te koop!',550.0,18.0,Amsterdam,2020-09-18 15:06:11+00:00
194,'concept 2 roeimachine',300.0,53.0,Rotterdam,2020-09-18 14:39:10+00:00
195,'concept2 model E PM5 modelE concept2 zwart 2016',825.0,24.0,Oegstgeest,2020-09-18 13:33:11+00:00
196,'concept2 model E PM5 modelE concept2 zwart',825.0,24.0,Oegstgeest,2020-09-18 13:10:11+00:00
197,'Roeier Concept 2 PM3',700.0,51.0,Naaldwijk,2020-09-18 13:01:10+00:00
198,'Concept 2 model E PM4',800.0,25.0,Katwijk,2020-09-18 11:23:11+00:00
