id|title|url|price|sellerId|advertType|distance|city|c2type|monitortype|target_price|margin|date
m1831191706|Concept 2 PM3 compleet geserviced|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1831191706-concept-2-pm3-compleet-geserviced|500|8924691|PACKAGE_FREE|28|Krimpen aan den IJssel||PM3|0|0|2022-04-13T14:21:29Z
m1831196018|Concept2 roeitrainer Model D met PM3 computer|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1831196018-concept2-roeitrainer-model-d-met-pm3-computer|600|26530781|PACKAGE_FREE|15|Pijnacker|D|PM3|700|100|2022-04-13T14:31:41Z
m1831216564|Roeitrainer Concept 2 model D|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1831216564-roeitrainer-concept-2-model-d|625|24708364|PACKAGE_FREE|156|Hengelo|D||0|0|2022-04-13T15:21:21Z
m1831291397|Nereus C concept2 indoor rower pm5|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1831291397-nereus-c-concept2-indoor-rower-pm5|350|2177803|PACKAGE_FREE|55|Almere|C|PM5|600|250|2022-04-13T18:43:24Z
m1831452892|Concept 2 Roeitrainer|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1831452892-concept-2-roeitrainer|NaN|39081408|PACKAGE_FREE|172|Bemelen|||0|0|2022-04-14T10:28:27Z
m1831730870|Concept 2 roeitrainer|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1831730870-concept-2-roeitrainer|600|2243807|PACKAGE_FREE|48|Hilversum|||0|0|2022-04-15T08:07:57Z
m1831811597|PM4 monitor voor Concept2 roeimachine|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1831811597-pm4-monitor-voor-concept2-roeimachine|NaN|16904604|PACKAGE_FREE|71|Roosendaal||PM4|0|0|2022-04-15T11:30:52Z
m1831862308|Roei trainer: Concept 2 Model D met PM3|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1831862308-roei-trainer-concept-2-model-d-met-pm3|600|18912999|PACKAGE_FREE|78|Rhenen|D|PM3|700|100|2022-04-15T13:35:00Z
m1832078559|Concept2 roeier model E PM4|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1832078559-concept2-roeier-model-e-pm4|700|26530781|PACKAGE_FREE|15|Pijnacker|E|PM4|750|50|2022-04-16T08:26:19Z
m1832094241|Roeimachine concept 2|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1832094241-roeimachine-concept-2|NaN|1624313|PACKAGE_FREE|101|Beekbergen|||0|0|2022-04-16T09:03:11Z
